label,youtube_id,time_start,time_end,split,full_path,num_files
cartwheeling,-0yP0wBW_uQ,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cartwheeling/-0yP0wBW_uQ_000003_000013,300
tossing salad,-12y8XXUDOA,164,174,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/tossing salad/-12y8XXUDOA_000164_000174,300
feeding fish,-15UpGVyV4w,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/feeding fish/-15UpGVyV4w_000001_000011,199
scrambling eggs,-16TZQLfXUc,60,70,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/scrambling eggs/-16TZQLfXUc_000060_000070,300
bee keeping,-18X6h92xpw,24,34,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/bee keeping/-18X6h92xpw_000024_000034,300
swinging on something,-1AV2VguEDw,136,146,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/swinging on something/-1AV2VguEDw_000136_000146,300
baby waking up,-1DQLnNEH8g,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/baby waking up/-1DQLnNEH8g_000003_000013,300
walking the dog,-1RxG3SJZfY,103,113,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/walking the dog/-1RxG3SJZfY_000103_000113,246
crying,-1Te0BM0oU8,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/crying/-1Te0BM0oU8_000000_000010,300
decorating the christmas tree,-1XzFG0hqAI,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/decorating the christmas tree/-1XzFG0hqAI_000001_000011,300
eating carrots,-1vQEXONh3Y,723,733,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/eating carrots/-1vQEXONh3Y_000723_000733,299
playing cello,-23ykna85DI,174,184,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing cello/-23ykna85DI_000174_000184,252
milking cow,-2Fv5u2YO5s,90,100,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/milking cow/-2Fv5u2YO5s_000090_000100,300
stretching leg,-2VKVjgNuE0,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/stretching leg/-2VKVjgNuE0_000000_000010,299
catching fish,-2eq0citAJg,18,28,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/catching fish/-2eq0citAJg_000018_000028,300
counting money,-2vdj0y_rI4,55,65,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/counting money/-2vdj0y_rI4_000055_000065,300
shuffling cards,-344DMDbxtw,19,29,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/shuffling cards/-344DMDbxtw_000019_000029,300
smoking,-3D9cHBM4bo,27,37,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/smoking/-3D9cHBM4bo_000027_000037,300
salsa dancing,-3FihEVl-R8,26,36,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/salsa dancing/-3FihEVl-R8_000026_000036,301
writing,-3oo45vpQV4,291,301,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/writing/-3oo45vpQV4_000291_000301,300
dying hair,-4JdZpx3zNk,268,278,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dying hair/-4JdZpx3zNk_000268_000278,300
playing violin,-4Q0ouLt0GA,52,62,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing violin/-4Q0ouLt0GA_000052_000062,300
jetskiing,-4dAJgJgxdE,15,25,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/jetskiing/-4dAJgJgxdE_000015_000025,300
riding elephant,-4jhRyZILBc,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/riding elephant/-4jhRyZILBc_000003_000013,301
push up,-51he86iZCY,916,926,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/push up/-51he86iZCY_000916_000926,300
using computer,-5HXuZ5ryYo,224,234,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/using computer/-5HXuZ5ryYo_000224_000234,299
riding elephant,-5JKWL9AKOY,4,14,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/riding elephant/-5JKWL9AKOY_000004_000014,300
digging,-5LEMasZdOc,15,25,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/digging/-5LEMasZdOc_000015_000025,300
dunking basketball,-5jFf2thMKg,27,37,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dunking basketball/-5jFf2thMKg_000027_000037,300
swimming butterfly stroke,-5yyKPocddE,4,14,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/swimming butterfly stroke/-5yyKPocddE_000004_000014,300
water sliding,-66lIjamXMA,34,44,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/water sliding/-66lIjamXMA_000034_000044,300
juggling soccer ball,-6FiS3sFBSk,88,98,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/juggling soccer ball/-6FiS3sFBSk_000088_000098,300
tasting food,-6KfcOhyCtI,42,52,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/tasting food/-6KfcOhyCtI_000042_000052,300
surfing water,-6UpPdfVoyg,47,57,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/surfing water/-6UpPdfVoyg_000047_000057,300
folding paper,-6c-sV_gmq0,72,82,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/folding paper/-6c-sV_gmq0_000072_000082,300
dancing macarena,-6hsbWBHZrE,13,23,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dancing macarena/-6hsbWBHZrE_000013_000023,300
dying hair,-7E9WiX7QfA,53,63,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dying hair/-7E9WiX7QfA_000053_000063,300
bungee jumping,-7oDolWb3FI,49,59,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/bungee jumping/-7oDolWb3FI_000049_000059,300
throwing ball,-89t2FKhgJk,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/throwing ball/-89t2FKhgJk_000003_000013,300
cleaning floor,-8JbMlvZOxs,30,40,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cleaning floor/-8JbMlvZOxs_000030_000040,300
waxing chest,-8h42AaoMnc,20,30,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/waxing chest/-8h42AaoMnc_000020_000030,300
riding mule,-9Rcf4Fzed8,2,12,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/riding mule/-9Rcf4Fzed8_000002_000012,300
eating chips,-AhebSCahUM,462,472,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/eating chips/-AhebSCahUM_000462_000472,300
playing chess,-AiRXJWGXZQ,55,65,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing chess/-AiRXJWGXZQ_000055_000065,300
riding or walking with horse,-ApPJCMjZVg,114,124,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/riding or walking with horse/-ApPJCMjZVg_000114_000124,300
playing trumpet,-BtzVCzSnLk,73,83,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing trumpet/-BtzVCzSnLk_000073_000083,300
tickling,-BuJ437TuOQ,1497,1507,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/tickling/-BuJ437TuOQ_001497_001507,300
dying hair,-CaRbdIFhjI,148,158,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dying hair/-CaRbdIFhjI_000148_000158,300
gymnastics tumbling,-CiPki3XuVI,2,12,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/gymnastics tumbling/-CiPki3XuVI_000002_000012,300
ski jumping,-Em6U3teolI,5,15,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/ski jumping/-Em6U3teolI_000005_000015,300
scrambling eggs,-EmJ2fqvcsU,144,154,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/scrambling eggs/-EmJ2fqvcsU_000144_000154,300
cracking neck,-FSQTAHxmpg,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cracking neck/-FSQTAHxmpg_000000_000010,234
parasailing,-FbUbIaCXtk,22,32,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/parasailing/-FbUbIaCXtk_000022_000032,300
surfing water,-G_tgkmqChg,72,82,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/surfing water/-G_tgkmqChg_000072_000082,300
yoga,-Gb1pbOE32g,32,42,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/yoga/-Gb1pbOE32g_000032_000042,300
kissing,-HaSHk661h4,188,198,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/kissing/-HaSHk661h4_000188_000198,300
making bed,-HiMSqjiJxk,63,73,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/making bed/-HiMSqjiJxk_000063_000073,300
front raises,-INebMIVKyo,5,15,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/front raises/-INebMIVKyo_000005_000015,300
riding a bike,-IU5bU9_AT4,20,30,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/riding a bike/-IU5bU9_AT4_000020_000030,300
playing cricket,-J8NeF13oN0,17,27,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing cricket/-J8NeF13oN0_000017_000027,300
brush painting,-JHvT2pywbo,978,988,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/brush painting/-JHvT2pywbo_000978_000988,300
kissing,-JODrHxjs2Q,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/kissing/-JODrHxjs2Q_000003_000013,267
running on treadmill,-KvDvP44fxc,25,35,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/running on treadmill/-KvDvP44fxc_000025_000035,300
climbing a rope,-LMBynHkTmQ,20,30,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/climbing a rope/-LMBynHkTmQ_000020_000030,300
cooking sausages,-LhTjRSC7Rk,20,30,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cooking sausages/-LhTjRSC7Rk_000020_000030,300
applying cream,-OpOh05PYcw,2,12,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/applying cream/-OpOh05PYcw_000002_000012,300
dribbling basketball,-QhxoSeCqYE,65,75,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dribbling basketball/-QhxoSeCqYE_000065_000075,300
archery,-Qz25rXdMjE,14,24,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/archery/-Qz25rXdMjE_000014_000024,300
stomping grapes,-SHNC6Z1B_g,185,195,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/stomping grapes/-SHNC6Z1B_g_000185_000195,300
gymnastics tumbling,-VdLmYXkJG0,38,48,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/gymnastics tumbling/-VdLmYXkJG0_000038_000048,300
ski jumping,-W04ILeepgw,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/ski jumping/-W04ILeepgw_000000_000010,299
extinguishing fire,-X1Allr_ZcY,15,25,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/extinguishing fire/-X1Allr_ZcY_000015_000025,300
massaging legs,-XJd1dTgslI,143,153,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/massaging legs/-XJd1dTgslI_000143_000153,300
swing dancing,-Y-fUYGcb7o,49,59,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/swing dancing/-Y-fUYGcb7o_000049_000059,300
shaking head,-ZI_tlHaBgo,6,16,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/shaking head/-ZI_tlHaBgo_000006_000016,300
laying bricks,-ZRdxrYnDkc,73,83,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/laying bricks/-ZRdxrYnDkc_000073_000083,300
eating spaghetti,-ZYl4Sw2SSk,243,253,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/eating spaghetti/-ZYl4Sw2SSk_000243_000253,300
breading or breadcrumbing,-_3E3GBXAUc,10,20,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/breading or breadcrumbing/-_3E3GBXAUc_000010_000020,300
barbequing,-aEZkNQQPLw,46,56,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/barbequing/-aEZkNQQPLw_000046_000056,300
cutting nails,-aeOuOI3eN0,219,229,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cutting nails/-aeOuOI3eN0_000219_000229,300
crossing river,-al8APBDtEg,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/crossing river/-al8APBDtEg_000003_000013,300
passing American football (in game),-b6gqj_mZOs,9,19,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/passing American football (in game)/-b6gqj_mZOs_000009_000019,195
dancing macarena,-bOgXBuuge0,48,58,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/dancing macarena/-bOgXBuuge0_000048_000058,300
skateboarding,-bQfgNsszaQ,172,182,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/skateboarding/-bQfgNsszaQ_000172_000182,300
carving pumpkin,-bVVs-_nntQ,56,66,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/carving pumpkin/-bVVs-_nntQ_000056_000066,300
sled dog racing,-bzEZZT8OSY,53,63,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/sled dog racing/-bzEZZT8OSY_000053_000063,300
cooking on campfire,-c1JrpgLek0,11,21,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cooking on campfire/-c1JrpgLek0_000011_000021,300
digging,-c3-qJC_azg,5,15,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/digging/-c3-qJC_azg_000005_000015,300
walking the dog,-dMaV5Il324,5,15,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/walking the dog/-dMaV5Il324_000005_000015,299
frying vegetables,-eJVHxmkm-4,204,214,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/frying vegetables/-eJVHxmkm-4_000204_000214,300
sniffing,-eXjiMsT1qk,276,286,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/sniffing/-eXjiMsT1qk_000276_000286,300
making a cake,-e_w1rF4RGg,90,100,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/making a cake/-e_w1rF4RGg_000090_000100,300
answering questions,-ejLPB4J4SM,106,116,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/answering questions/-ejLPB4J4SM_000106_000116,300
paragliding,-errNPiGXF4,39,49,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/paragliding/-errNPiGXF4_000039_000049,300
drinking beer,-fbscFfkh4M,224,234,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/drinking beer/-fbscFfkh4M_000224_000234,300
training dog,-g1KcIki0ww,4,14,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/training dog/-g1KcIki0ww_000004_000014,301
cutting pineapple,-gJlTcI3jRI,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cutting pineapple/-gJlTcI3jRI_000000_000010,301
scuba diving,-gqlA679_f8,163,173,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/scuba diving/-gqlA679_f8_000163_000173,300
parasailing,-gsRLvAO4mw,22,32,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/parasailing/-gsRLvAO4mw_000022_000032,300
picking fruit,-h0RIu0ggZs,13,23,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/picking fruit/-h0RIu0ggZs_000013_000023,300
swinging on something,-hFHCRlEO2c,152,162,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/swinging on something/-hFHCRlEO2c_000152_000162,300
massaging person's head,-huT_p-r_zA,1989,1999,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/massaging person's head/-huT_p-r_zA_001989_001999,300
building shed,-jLDOqR6XsI,472,482,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/building shed/-jLDOqR6XsI_000472_000482,300
bowling,-jOClYqKtE8,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/bowling/-jOClYqKtE8_000003_000013,300
biking through snow,-je0yLm8oRU,26,36,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/biking through snow/-je0yLm8oRU_000026_000036,300
washing dishes,-l309dqYR-8,113,123,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/washing dishes/-l309dqYR-8_000113_000123,299
playing paintball,-lPaefDR9mw,10,20,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing paintball/-lPaefDR9mw_000010_000020,300
sword fighting,-mx34h7Cfik,8,18,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/sword fighting/-mx34h7Cfik_000008_000018,300
hula hooping,-niqevmo2Tc,86,96,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/hula hooping/-niqevmo2Tc_000086_000096,300
texting,-o9-ONbnlRw,6,16,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/texting/-o9-ONbnlRw_000006_000016,301
shaking hands,-oR77BgphxA,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/shaking hands/-oR77BgphxA_000000_000010,235
vault,-p9Jhg2jyD8,21,31,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/vault/-p9Jhg2jyD8_000021_000031,300
water sliding,-pHrb1FLXfY,11,21,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/water sliding/-pHrb1FLXfY_000011_000021,300
eating hotdog,-qicnRe0k4E,120,130,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/eating hotdog/-qicnRe0k4E_000120_000130,300
laying bricks,-sf01vs2YMg,146,156,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/laying bricks/-sf01vs2YMg_000146_000156,300
catching or throwing softball,-shfV8JDCMk,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/catching or throwing softball/-shfV8JDCMk_000001_000011,178
stretching arm,-t5Gz8E1Jeg,14,24,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/stretching arm/-t5Gz8E1Jeg_000014_000024,192
high kick,-toLFfiQnzc,15,25,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/high kick/-toLFfiQnzc_000015_000025,300
playing tennis,-whdHn9Mbcc,0,10,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing tennis/-whdHn9Mbcc_000000_000010,300
cutting nails,-xk2Ym2NwSs,11,21,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cutting nails/-xk2Ym2NwSs_000011_000021,301
snowkiting,0-H_tyg7F14,82,92,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/snowkiting/0-H_tyg7F14_000082_000092,300
surfing crowd,031AhY-44lw,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/surfing crowd/031AhY-44lw_000003_000013,300
building shed,04fFektD3CQ,397,407,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/building shed/04fFektD3CQ_000397_000407,300
bobsledding,05DTqECiJtI,223,233,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/bobsledding/05DTqECiJtI_000223_000233,300
making tea,05P1B4urnF4,84,94,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/making tea/05P1B4urnF4_000084_000094,300
massaging person's head,069xevwEijs,494,504,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/massaging person's head/069xevwEijs_000494_000504,299
sign language interpreting,06IRoSKPlFM,175,185,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/sign language interpreting/06IRoSKPlFM_000175_000185,300
weaving basket,07YX_GR_cEE,894,904,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/weaving basket/07YX_GR_cEE_000894_000904,300
barbequing,08csZOkVKCc,27,37,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/barbequing/08csZOkVKCc_000027_000037,300
kicking soccer ball,08exh0TpOlM,41,51,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/kicking soccer ball/08exh0TpOlM_000041_000051,300
doing nails,08qD_jd4qLY,66,76,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/doing nails/08qD_jd4qLY_000066_000076,300
changing wheel,0BhVDzsdGUM,28,38,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/changing wheel/0BhVDzsdGUM_000028_000038,301
massaging legs,0EJXIQ1ltjo,13,23,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/massaging legs/0EJXIQ1ltjo_000013_000023,300
playing guitar,0ELymxVtE0g,56,66,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing guitar/0ELymxVtE0g_000056_000066,300
playing violin,0EQTWTLZfGM,37,47,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing violin/0EQTWTLZfGM_000037_000047,300
shaking head,0FZNQa_EWBE,30,40,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/shaking head/0FZNQa_EWBE_000030_000040,299
eating watermelon,0G2A0x2-vf4,40,50,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/eating watermelon/0G2A0x2-vf4_000040_000050,300
belly dancing,0GJDwzYw7wo,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/belly dancing/0GJDwzYw7wo_000003_000013,300
playing bass guitar,0GWr1EV6ZuY,106,116,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing bass guitar/0GWr1EV6ZuY_000106_000116,300
zumba,0H5mnFcm2Kg,17,27,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/zumba/0H5mnFcm2Kg_000017_000027,282
spraying,0HydDezkSU0,18,28,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/spraying/0HydDezkSU0_000018_000028,300
playing monopoly,0JwDKN8yiC4,2,12,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing monopoly/0JwDKN8yiC4_000002_000012,300
roller skating,0KMwj0US2dE,151,161,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/roller skating/0KMwj0US2dE_000151_000161,300
eating ice cream,0L8ZcrRtFxI,1103,1113,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/eating ice cream/0L8ZcrRtFxI_001103_001113,300
shooting basketball,0MG3pzym-G8,2,12,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/shooting basketball/0MG3pzym-G8_000002_000012,300
changing wheel,0PAZuNazXY0,106,116,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/changing wheel/0PAZuNazXY0_000106_000116,301
playing bass guitar,0Pdt1UFwVn4,371,381,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing bass guitar/0Pdt1UFwVn4_000371_000381,300
garbage collecting,0Pg-veCh7P4,503,513,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/garbage collecting/0Pg-veCh7P4_000503_000513,300
flying kite,0QH8uFjXiW4,3,13,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/flying kite/0QH8uFjXiW4_000003_000013,180
catching fish,0QQv6m9evuY,4,14,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/catching fish/0QQv6m9evuY_000004_000014,300
folding paper,0R_34yUPoTc,66,76,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/folding paper/0R_34yUPoTc_000066_000076,300
playing violin,0YqLJjXmU0I,560,570,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/playing violin/0YqLJjXmU0I_000560_000570,300
shot put,0chik_yq4uA,77,87,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/shot put/0chik_yq4uA_000077_000087,300
welding,0egFLk5ZGIc,12,22,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/welding/0egFLk5ZGIc_000012_000022,300
drinking beer,0g_xR5lmUsY,1,11,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/drinking beer/0g_xR5lmUsY_000001_000011,300
snowboarding,0i5IfU3yOxg,1259,1269,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/snowboarding/0i5IfU3yOxg_001259_001269,300
cartwheeling,0iSjGako8Sg,12,22,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/cartwheeling/0iSjGako8Sg_000012_000022,230
massaging legs,0iwGDbsDIkw,435,445,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/massaging legs/0iwGDbsDIkw_000435_000445,300
feeding fish,0jg1cEhzFL4,83,93,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/feeding fish/0jg1cEhzFL4_000083_000093,300
gargling,0jpK6zhdxjo,18,28,validate,/n/fs/visualai-scr/Data/Kinetics_cvf/frames/val/gargling/0jpK6zhdxjo_000018_000028,300
